 ,Mg,Rg,a,ad,ag,al,an,b,begin,bl,c,cc,d,dg,dl,e,end,f,gb,gc,gg,gi,gm,gp,i,j,k,l,m,mq,n,nba,nbc,nf,ng,nhd,nhm,nis,nit,nmc,nnd,nnt,nr,nr1,nr2,nrf,nrj,ns,nsf,nt,ntc,ntcb,ntcf,ntch,nth,nto,nts,ntu,nz,o,p,pba,pbei,q,qt,qv,r,rr,ry,rys,ryt,ryv,rz,rzs,rzt,rzv,s,t,tg,u,ude1,ude2,ude3,udeng,udh,uguo,ule,ulian,uls,usuo,uyy,uzhe,uzhi,v,vd,vf,vg,vi,vl,vn,vshi,vx,vyou,w,x,y,z
Mg,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,20,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,50,4,0,0
Rg,0,2,0,0,10,0,0,20,0,0,6,11,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,43,0,0,38,0,0,0,0,10,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,4,0,14,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,50,0,18,6,0,0,4,2,0,6,104,0,0,0
a,18,6,28002,1524,4365,95,2967,6967,0,51,3286,9623,21325,44,44,134,7352,8032,277,106,39,379,103,27,0,35,984,38,12556,19605,215549,0,0,2940,13115,379,16,6713,54,55,2756,9405,2127,0,0,871,36,5224,371,316,221,2,0,7,1,16,0,9,30087,75,13295,577,924,10581,3085,2092,1512,1855,312,18,16,201,1688,54,2,532,1266,5912,1203,323,146037,11989,1767,2253,471,544,18783,62,297,283,78,572,2609,121922,274,5124,5151,22351,736,36503,3548,16,2120,235465,2772,2813,931
ad,0,0,3941,934,61,34,228,399,0,8,590,1749,6074,2,14,6,404,977,22,4,2,48,12,4,0,2,82,4,488,550,15422,0,0,54,302,118,2,202,0,0,60,489,74,0,0,21,0,267,25,51,12,1,0,1,0,0,1,0,5274,0,7310,1081,858,109,66,38,315,188,18,0,0,5,294,8,0,76,109,184,28,20,15670,2394,54,109,77,70,1189,6,48,11,38,28,126,90864,173,1008,359,12451,503,13110,2131,141,1214,20461,50,172,64
ag,0,58,1557,26,862,0,28,792,0,1,104,496,1351,14,10,0,239,664,96,2,0,8,2,0,0,0,152,2,490,265,11349,0,0,104,3090,20,0,675,2,2,162,893,211,0,0,193,0,209,4,9,12,0,0,1,1,0,0,0,2283,74,820,9,47,1399,144,94,32,143,32,0,0,12,1053,0,0,16,88,198,195,2,1349,23,28,149,0,18,252,6,10,46,12,33,80,8438,15,167,905,786,34,728,104,0,91,6908,217,159,36
al,0,0,61,8,2,0,8,8,0,0,38,34,238,0,0,0,94,75,0,0,0,0,0,0,0,0,8,0,47,93,289,0,0,0,63,0,0,0,0,0,0,2,4,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,67,0,92,2,8,16,2,0,28,26,0,0,0,0,16,0,0,6,6,46,0,2,3733,978,10,14,16,0,270,0,0,0,2,0,20,468,4,30,14,62,22,80,46,0,70,8265,4,58,12
an,0,0,1468,145,25,8,384,243,0,8,337,2900,2183,0,2,0,854,737,0,0,0,34,14,0,0,0,64,4,776,852,12999,0,0,33,383,0,0,967,6,0,57,759,18,0,0,20,0,81,4,4,0,0,0,0,1,0,0,0,1076,0,694,15,47,60,42,95,77,131,8,0,0,26,42,0,0,29,31,166,0,132,7705,487,12,596,15,16,556,0,12,30,2,42,260,5649,40,184,107,1372,102,4669,395,0,102,30354,12,270,119
b,8,27,6326,537,1061,16,982,7497,0,34,1160,2432,6022,103,32,12,744,6304,125,76,49,318,56,57,0,106,442,8,2809,3177,132785,4,0,1154,6828,384,4,10327,62,14,3192,17209,850,0,0,538,12,2962,385,628,167,2,1,14,67,211,3,24,18103,50,5203,80,389,2355,653,520,297,180,34,2,0,22,2003,58,4,162,1116,1468,360,25,21510,440,94,888,22,48,285,9,42,131,43,284,309,45439,783,1253,1629,7569,284,23495,4005,16,1608,26128,2475,109,146
begin,0,8,22901,5075,1764,944,735,28467,0,4474,100571,24630,63804,36,3946,152,522934,16592,136,51,76,742,121,34,24,1008,34,58,48585,28289,163760,24,0,5250,5389,819,40,12288,169,112,7147,33934,87605,0,0,14026,404,51342,13090,17675,3422,262,4,26,177,3275,61,1008,83683,149,170703,774,1673,2551,1566,180,19325,49261,1118,38,40,2976,30518,3460,1320,24240,6301,166132,1779,16,22,39,24,430,0,374,2,181,2,262,10,22,2,136812,934,2060,3469,16873,4898,20039,980,6,6888,259176,7001,48,1267
bl,0,0,69,21,0,22,8,3,0,0,14,72,457,0,0,0,38,95,0,0,0,0,2,0,0,0,0,0,15,43,441,0,0,10,12,0,0,14,0,0,3,22,22,0,0,19,0,37,15,5,2,0,0,0,0,2,0,0,96,1,88,6,4,1,2,0,34,190,0,0,0,4,26,2,0,48,2,4,4,0,3368,44,0,22,2,2,4,0,0,0,8,0,22,796,22,6,8,160,44,141,82,0,12,6598,6,6,2
c,1,0,13713,3285,396,250,610,4032,0,344,7196,2455,46952,22,464,2,16,2975,109,27,12,180,69,24,0,78,21,50,6636,12417,51932,17,0,1474,908,525,15,2741,31,22,879,3137,5950,0,0,1652,24,4231,1340,657,295,8,0,0,13,60,7,46,17281,12,32084,1084,1969,1031,356,68,4539,26484,1114,12,46,754,7540,584,146,6354,1992,9967,225,6,428,14,120,118,32,120,190,110,2,84,56,12,2,85289,637,1307,647,8720,2142,7869,10969,14,5699,63249,992,150,442
cc,0,18,18033,2912,888,108,2471,9214,0,240,5076,1617,16676,71,192,0,18,6244,483,86,245,721,106,58,4,338,6,44,9603,10202,151057,40,3,3326,2375,984,62,7862,198,218,2436,8762,20073,0,0,4707,122,15887,5792,3606,1241,113,8,7,84,547,26,208,43637,36,20791,510,1514,696,324,249,2459,11682,185,2,14,131,5649,471,54,4862,3630,10872,413,0,157,45,16,44,0,287,30,30,0,188,0,38,615,88145,703,1730,1096,10745,1392,26902,40,189,992,12382,3389,0,612
d,0,2,160106,25765,2519,2302,7869,9433,0,491,13942,12988,178687,324,846,29,1411,12032,122,4,12,291,190,25,4,64,200,164,22181,23243,97070,8,0,915,7149,515,12,2120,19,8,421,2980,3742,0,0,898,48,3575,908,480,203,10,0,0,18,36,2,10,52802,111,141795,7757,23723,13102,2412,1726,5631,9304,713,50,406,1588,11608,550,36,4057,2358,6294,2284,272,29344,5059,2747,1166,62,2315,6151,1495,240,763,2026,846,444,778838,5628,20911,7851,86469,14893,50914,82473,822,43560,74290,966,613,2227
dg,0,0,454,0,70,0,2,6,0,0,0,26,239,0,0,2,34,22,0,0,0,0,0,0,0,0,0,0,11,9,152,0,0,0,91,0,0,16,0,0,2,8,28,0,0,7,0,6,0,2,0,0,0,0,0,0,0,0,113,2,240,0,0,21,12,4,0,52,0,0,0,0,0,2,0,4,0,3,2,0,32,4,4,2,0,0,52,0,0,0,0,0,8,595,0,157,190,48,2,16,106,0,16,248,0,6,0
dl,0,0,236,59,20,0,4,31,0,2,78,58,1258,2,0,0,42,134,0,0,2,2,22,0,0,0,0,2,60,80,555,0,0,18,10,8,0,11,2,0,14,40,24,0,0,4,0,144,35,11,0,2,0,0,0,3,0,0,289,5,468,62,50,8,0,0,18,82,0,0,0,0,24,6,0,16,27,10,2,0,726,1282,4,10,0,0,10,0,0,4,4,0,18,2522,22,62,0,177,62,272,118,2,22,6978,4,24,14
e,0,0,4,0,6,0,0,2,0,0,0,0,12,0,0,18,24,2,0,0,0,0,0,0,0,0,4,0,12,10,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,8,8,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,16,0,0,0,0,0,0,50,0,8,0,7,0,6,0,0,2,2572,0,4,0
