 ,A,B,C,D,F,G,I,J,K,L,M,P,S,W,X,Z
A,0,0,19945,883,2013,58781,3290,1582,19254,1422,282,944,0,0,0,0
B,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125708
C,0,0,25949,57230,142,1908,850,1603,53,169,260,834,0,144,0,0
D,0,109511,4389,6473,135,1018,476,229,28,105,177,120,0,59,4586,0
F,0,0,971,2666,138,127,92,163,5,7,5,87,0,48,0,0
G,0,0,24497,42962,1283,5178,3104,2782,182,1415,756,1173,0,140,0,0
I,0,0,2515,5556,34,270,179,181,3,39,56,210,0,11,0,0
J,0,0,2002,4973,69,96,85,707,4,95,47,535,0,23,0,0
K,0,19920,1162,2036,13,184,64,57,16,3,32,25,0,0,1238,0
L,0,0,1289,1476,19,68,58,481,1,18,10,289,0,0,0,0
M,1000,0,569,758,1,7,11,128,0,76,86,143,0,1,0,0
P,0,0,1647,1989,70,54,200,425,0,67,29,433,0,9,0,0
S,9509,0,2911,104,278,12704,476,212,4031,210,23,86,0,0,0,1131650
W,0,0,123,150,23,105,11,9,0,4,0,10,0,0,0,0
X,0,0,1173,50,91,2972,158,77,1173,79,17,34,0,0,0,0
Z,95874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19796133
