 ,A,B,C,D,E,F,G,K,L,M,S,U,V,X,Z
A,20637728,0,0,0,0,0,0,195129,0,0,0,453,0,0,0
B,0,1,155650,0,94221,0,2964,0,19,0,0,24,0,0,43757
C,0,0,0,155393,0,0,0,0,0,0,0,47,461,0,0
D,2409,3427,0,0,0,0,0,0,141568,16990,0,0,0,63,0
E,1491,2198,0,0,1000,0,0,0,81654,9104,0,4,0,45,0
F,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
G,6,0,0,1000,0,0,0,0,2907,1000,0,0,0,0,0
K,0,217510,0,0,0,18,0,0,0,0,0,0,0,7506,11
L,256487,1000,0,0,0,0,0,0,0,0,0,7,0,0,0
M,0,29629,0,0,0,0,0,0,0,0,0,0,0,526,0
S,1097701,43031,0,0,1000,2,0,21858,0,0,0,32,0,928,1
U,0,0,251,0,275,0,0,0,0,0,0,0,0,0,46
V,447,13,0,0,0,1,0,19,0,0,0,0,0,0,0
X,0,0,0,9064,0,0,0,0,0,0,0,5,18,0,0
Z,594,807,0,0,0,0,0,0,38385,4010,0,0,0,19,0
